event_date,gri,volume_score,severity_score,concentration_score,total_events,avg_goldstein,gri_armed_conflict_,gri_sanctions_finan,gri_technology_cont,gri_trade_policy_ac,gri_resource_energy,gri_regulatory_sove,gri_political_trans,gri_institutional_a
2022-01-30,56.3,31.52640089044751,84.75775619014335,49.174226546514745,2444,-6.951551238028669,63.6,69.7,,62.4,,56.0,52.3,
2022-01-31,65.9,57.425425413557065,84.46834266753831,45.84592102603266,3376,-6.89366853350766,75.6,85.1,,74.7,,60.5,65.3,
2022-02-01,69.6,66.85182479633548,84.45748776011584,45.50827776181795,3729,-6.89149755202317,80.7,83.3,,74.6,,73.7,69.6,
2022-02-02,71.0,69.10814383876027,84.5549150109153,47.87537268682548,3787,-6.910983002183057,82.8,78.6,,79.1,,70.0,67.1,
2022-02-03,72.0,71.99340670209787,84.31063231527017,47.602320421537506,3943,-6.862126463054032,84.2,76.2,,74.1,,63.9,71.9,
2022-02-04,65.4,56.37961364746852,84.38875801888155,45.45024927385196,3437,-6.877751603776309,75.1,75.5,,70.0,,66.9,67.4,
2022-02-05,56.2,31.233637936142102,84.83466666520796,48.883863635413036,2534,-6.966933333041593,63.2,59.1,,54.2,,59.7,55.5,
2022-02-06,53.3,24.64659257922008,84.71525492786097,47.53587661945589,2275,-6.943050985572194,59.4,61.4,,56.1,,56.2,53.2,
2022-02-07,64.7,54.26688098830977,84.09068602826099,46.629795120074185,3313,-6.818137205652198,74.1,71.7,,70.9,,58.9,66.1,
2022-02-08,69.8,68.16418161578481,84.33379533149254,43.87203794688203,3848,-6.866759066298511,80.0,86.6,,75.8,,65.2,75.1,
2022-02-09,71.7,71.91377798741628,84.45320320610054,45.606043160589266,3975,-6.890640641220109,83.0,75.4,,83.0,,71.5,73.8,
2022-02-10,69.8,67.96855426512877,84.34256779911932,44.29548743240018,3877,-6.868513559823863,80.1,74.0,,84.8,,73.8,73.8,
2022-02-11,68.4,63.94626562688509,84.23471568080896,45.389412262463416,3761,-6.8469431361617925,78.6,65.1,,74.3,,65.7,74.3,
2022-02-12,57.1,36.35316671491362,84.83233690607634,43.00414183562452,2776,-6.966467381215267,63.8,61.4,,83.1,,74.5,58.9,
